Title,IMDb Rating,Votes,Genres,Year
God of War,,,"Action, Adventure, Drama, Fantasy, War",
Spec Ops: The Line,8.4,4294.0,"Action, Drama, Horror, Mystery, Thriller, War",2012.0
Dark Souls,4.6,2222.0,"Horror, Thriller",2010.0
Bloodborne,9.3,8442.0,"Action, Adventure, Fantasy, History, Horror, Sci-Fi, War",2015.0
Dishonored,7.2,3337.0,"Drama, Romance, War",1931.0
Far Cry 3,8.8,22878.0,"Action, Adventure, Crime, Drama, Thriller",2012.0
Far Cry 4,8.0,11950.0,"Action, Adventure, Crime, Drama, Thriller",2014.0
Far Cry 5: Inside Eden's Gate,5.4,782.0,"Short, Drama, Mystery, Thriller",2018.0
Far Cry 6,7.2,4355.0,"Action, Adventure, Crime, Drama, Thriller",2021.0
Max Payne,5.3,131670.0,"Action, Crime, Drama, Mystery, Thriller",2008.0
BioShock - IMDb,,,"Action, Adventure, Horror, Mystery, Sci-Fi, Thriller",
Resident Evil 4,9.3,7120.0,"Action, Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi",2023.0
Resident Evil Village,8.6,8596.0,"Action, Adventure, Drama, Fantasy, Horror, Sci-Fi",2021.0
Shadow of the Colossus - IMDb,,,"Adventure, Fantasy",
Kabuki CHAUD! Yakuza: Like a Dragon (Series X) Découverte par Benzaie!,,,"Comedy, Fantasy, Game-Show, Sci-Fi, Talk-Show",2020.0
Watch Dogs - IMDb,,,"Action, Drama",
The Evil Within,,,"Horror, Thriller",2025.0
The Prototype,2.3,45075.0,"Action, Sci-Fi, Thriller",2022.0
Saints Row,5.0,1181.0,"Action, Comedy, Crime",2022.0
Batman Arkham Series,,,,2020.0
Death Note,8.9,412094.0,"Animation, Crime, Drama, Fantasy, Mystery, Thriller",2006.0
Attack on Titan,9.1,583519.0,"Animation, Action, Adventure, Drama, Fantasy, Horror",2013.0
Code Geass,8.7,88012.0,"Animation, Action, Drama, Fantasy, Sci-Fi, Thriller",2006.0
Tokyo Ghoul,7.7,70805.0,"Animation, Action, Drama, Fantasy, Horror, Thriller",2014.0
Vinland Saga,8.8,92051.0,"Animation, Action, Adventure, Drama, History",2019.0
Cowboy Bebop,8.9,150162.0,"Animation, Action, Adventure, Comedy, Drama, Sci-Fi",1998.0
Samurai Champloo,8.5,58589.0,"Animation, Action, Adventure, Comedy, Drama, Thriller",2004.0
Black Lagoon,7.9,19127.0,"Animation, Action, Adventure, Crime, Drama, Thriller",2006.0
Monster,8.7,53826.0,"Animation, Crime, Drama, Mystery, Thriller",2004.0
Psycho-Pass,8.1,23782.0,"Animation, Action, Crime, Mystery, Sci-Fi, Thriller",2012.0
JoJo's Bizarre Adventure,8.5,40586.0,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Horror",2012.0
Akame ga Kill!,7.8,32859.0,"Animation, Action, Comedy, Drama, Fantasy, Thriller",2014.0
Hellsing,7.7,19175.0,"Animation, Action, Fantasy, Horror",2001.0
Berserk,8.7,62731.0,"Animation, Action, Adventure, Drama, Fantasy, Horror, Romance",1997.0
Parasyte: The Maxim,8.3,53941.0,"Animation, Action, Drama, Horror, Sci-Fi, Thriller",2014.0
Devilman: Crybaby,7.6,31257.0,"Animation, Action, Drama, Fantasy, Horror",2018.0
Trigun,8.2,25098.0,"Animation, Action, Adventure, Comedy, Drama, Sci-Fi",1998.0
Chainsaw Man,8.3,70122.0,"Animation, Action, Comedy",2022.0
The Rising of the Shield Hero,7.8,19411.0,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",2019.0
Re: Zero - Starting Life in Another World,8.1,29927.0,"Animation, Adventure, Drama, Fantasy, Horror, Mystery, Romance, Thriller",2016.0
One Outs,8.2,2031.0,"Animation, Drama, Sport",2008.0
Drifters,7.6,4201.0,"Animation, Action, Adventure, Fantasy",2016.0
Gantz,7.1,9050.0,"Animation, Action, Drama, Fantasy, Horror, Sci-Fi",2004.0
91 Days,7.6,6133.0,"Animation, Crime, Drama, History, Thriller",2016.0
